_id	datetime	datetime_from	datetime_to	destination_port_name	event	source_id	source_name	time_in_port	vessel_callsign	vessel_flag	vessel_imo	vessel_length	vessel_mmsi	vessel_name	vessel_type
5cac9963c81d023d283653eb	20/03/2019 13:17				Departure	1	vesseltracker				9664172	94	566608000	LUISELLA COSULICH	oil_and_chemical_tanker>oil_products_tanker
5cac9963c81d023d283653ec	20/03/2019 13:16				Arrival	1	vesseltracker					20	563062520	PRESIDENT	
5cac9963c81d023d283653ed	20/03/2019 13:16				Arrival	1	vesseltracker					30	563025790	MARIGOLD	general_cargo_ship
5cac9963c81d023d283653ee	20/03/2019 13:16				Arrival	1	vesseltracker				9797072	92	563035990	IG AQUARIUS	other>landing_craft
5cac9963c81d023d283653ef	20/03/2019 13:15			Singapore	Departure	1	vesseltracker					0	563036660	GP-05	
5cac9963c81d023d283653f0	20/03/2019 13:14				Arrival	1	vesseltracker					13	563013880	PILOT GP47	passenger_ship
5cac9963c81d023d283653f1	20/03/2019 13:14				Departure	1	vesseltracker					15	563469000	GP-44	passenger_ship
5cac9963c81d023d283653f2	20/03/2019 13:13				Arrival	1	vesseltracker					30	563019650	SC4465F	general_cargo_ship
5cac9963c81d023d283653f3	20/03/2019 13:12				Arrival	1	vesseltracker					10	563040543	KANLIAN 37	
5cac9963c81d023d283653f4	20/03/2019 13:12				Arrival	1	vesseltracker					0	563062910	GOLDEN GIANT	
5cac9963c81d023d283653f5	20/03/2019 13:11				Departure	1	vesseltracker					0	563040039	KENKI 21	
5cac9963c81d023d283653f6	20/03/2019 13:10				Arrival	1	vesseltracker					0	563066740	KSE SPEEDER	
5cac9963c81d023d283653f7	20/03/2019 13:09				Departure	1	vesseltracker					15	563019660	CKL X	
