,_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
2291,5cb2544acf504e43d0900425,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,3h,9VJQ8,,Flag of Singapore,,9284374.0,229x33m,565624000.0,PO YANG HU,Oil tanker
2292,5cb2544acf504e43d0900426,,,20/03/2019 09:48,,,,Departure,,,3.0,fleetmon,3h,9VJQ8,,Flag of Singapore,,9284374.0,229x33m,565624000.0,PO YANG HU,Oil tanker
2293,5cb2544acf504e43d0900427,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,< 1h,9V9453,,Flag of Singapore,,9635066.0,92x20m,566392000.0,DEBONAIR,Oil tanker
2294,5cb2544acf504e43d0900428,,,20/03/2019 06:43,,,,Departure,,,3.0,fleetmon,< 1h,9V9453,,Flag of Singapore,,9635066.0,92x20m,566392000.0,DEBONAIR,Oil tanker
2295,5cb2544acf504e43d0900429,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,< 1h,9VCN2,,Flag of Singapore,,9394349.0,100x18m,565690000.0,SEA HARMONY,Oil tanker
2296,5cb2544acf504e43d090042a,,,20/03/2019 06:43,,,,Departure,,,3.0,fleetmon,< 1h,9VCN2,,Flag of Singapore,,9394349.0,100x18m,565690000.0,SEA HARMONY,Oil tanker
2297,5cb2544acf504e43d090042b,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,< 1h,VRDC7,,Flag of Hong Kong SAR of China,,9344136.0,185x32m,477936300.0,CSC PROGRESS,Oil tanker
2298,5cb2544acf504e43d090042c,,,20/03/2019 06:43,,,,Departure,,,3.0,fleetmon,< 1h,VRDC7,,Flag of Hong Kong SAR of China,,9344136.0,185x32m,477936300.0,CSC PROGRESS,Oil tanker
2299,5cb2544acf504e43d090042d,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,2h,9V8492,,Flag of Singapore,,9578488.0,89x17m,565551000.0,MARINE LIBERTY,Tanker
2300,5cb2544acf504e43d090042e,,,20/03/2019 08:19,,,,Departure,,,3.0,fleetmon,2h,9V8492,,Flag of Singapore,,9578488.0,89x17m,565551000.0,MARINE LIBERTY,Tanker
2301,5cb2544acf504e43d090042f,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,< 1h,C6BV8,,Flag of The Bahamas,,9706499.0,225x36m,311000379.0,CONSTITUTION,Tanker
2302,5cb2544acf504e43d0900430,,,20/03/2019 06:40,,,,Departure,,,3.0,fleetmon,< 1h,C6BV8,,Flag of The Bahamas,,9706499.0,225x36m,311000379.0,CONSTITUTION,Tanker
2303,5cb2544acf504e43d0900431,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,< 1h,9V5673,,Flag of Singapore,,9417490.0,117x19m,563038200.0,PROSPER,Tanker
2304,5cb2544acf504e43d0900432,,,20/03/2019 06:43,,,,Departure,,,3.0,fleetmon,< 1h,9V5673,,Flag of Singapore,,9417490.0,117x19m,563038200.0,PROSPER,Tanker
2305,5cb2544acf504e43d0900433,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,1d 18h,YCPZ2,,Flag of Indonesia,,9302827.0,190x32m,525300236.0,DAIDAN MUSTIKAWATI,Bulk carrier
2306,5cb2544acf504e43d0900434,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,1d 17h,S6AP9,,Flag of Singapore,,9310824.0,110x18m,563623000.0,OXALIS JASMINE,Oil tanker
2307,5cb2544acf504e43d0900435,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,< 1h,9V9153,,Flag of Singapore,,9593270.0,99x19m,566019000.0,SINCERITY,Tanker
2308,5cb2544acf504e43d0900436,,,20/03/2019 06:40,,,,Departure,,,3.0,fleetmon,< 1h,9V9153,,Flag of Singapore,,9593270.0,99x19m,566019000.0,SINCERITY,Tanker
2309,5cb2544acf504e43d0900437,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,13h,9V3675,,Flag of Singapore,,9189794.0,32x12m,563034810.0,PARAKEET,Pusher/Tug
2310,5cb2544acf504e43d0900438,,,20/03/2019 19:40,,,,Departure,,,3.0,fleetmon,13h,9V3675,,Flag of Singapore,,9189794.0,32x12m,563034810.0,PARAKEET,Pusher/Tug
2311,5cb2544acf504e43d0900439,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,2h,9V2487,,Flag of Singapore,,9661443.0,93x17m,565121000.0,BRIGHTOIL 639,Tanker
2312,5cb2544acf504e43d090043a,,,20/03/2019 08:19,,,,Departure,,,3.0,fleetmon,2h,9V2487,,Flag of Singapore,,9661443.0,93x17m,565121000.0,BRIGHTOIL 639,Tanker
2313,5cb2544acf504e43d090043b,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,20h,PPNM,,Flag of Brazil,,9453810.0,274x48m,710239000.0,ZUMBI DOS PALMARES,Oil tanker
2314,5cb2544acf504e43d090043c,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,2h,9MLS9,,Flag of Malaysia,,9434084.0,105x19m,533060900.0,JM SUTERA 1,Ship
2315,5cb2544acf504e43d090043d,,,20/03/2019 08:43,,,,Departure,,,3.0,fleetmon,2h,9MLS9,,Flag of Malaysia,,9434084.0,105x19m,533060900.0,JM SUTERA 1,Ship
2316,5cb2544acf504e43d090043e,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,12h,VRWW5,,Flag of Hong Kong SAR of China,,9014078.0,199x30m,477857000.0,SAGA SPRAY,General cargo vessel
2317,5cb2544acf504e43d090043f,,,20/03/2019 19:06,,,,Departure,,,3.0,fleetmon,12h,VRWW5,,Flag of Hong Kong SAR of China,,9014078.0,199x30m,477857000.0,SAGA SPRAY,General cargo vessel
2318,5cb2544acf504e43d0900440,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,< 1h,V7FN2,,Flag of Marshall Islands,,9176981.0,333x60m,538005621.0,CS PIONEER,Oil tanker
2319,5cb2544acf504e43d0900441,,,20/03/2019 06:43,,,,Departure,,,3.0,fleetmon,< 1h,V7FN2,,Flag of Marshall Islands,,9176981.0,333x60m,538005621.0,CS PIONEER,Oil tanker
2320,5cb2544acf504e43d0900442,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,1h,9V8694,,Flag of Singapore,,9572953.0,30x10m,564750000.0,POSH HARVEST,Pusher/Tug
