_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
5cb2544acf504e43d0901cce,191,AIS,20/03/2019 10:21,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2187702,,13,563066780,KENKI 35,
5cb2544acf504e43d0901ccf,191,AIS,20/03/2019 10:20,O.M.U,,,Departure,,,1,vesseltracker,,,,,2265939,,18,563068250,FEI HE SC4384F,
5cb2544acf504e43d0901cd0,191,AIS,20/03/2019 10:20,,,,Departure,417,Singapore,1,vesseltracker,,,,,1763733,,0,563009070,E.T. HARBOUR 25,
5cb2544acf504e43d0901cd1,191,AIS,20/03/2019 10:19,,,,Arrival,417,Singapore,1,vesseltracker,,,,,407632,,13,563013880,PILOT GP47,passenger_ship
5cb2544acf504e43d0901cd2,191,AIS,20/03/2019 10:19,,,,Departure,,,1,vesseltracker,,,,,1881186,,10,563040390,KANLIAN 3,
5cb2544acf504e43d0901cd3,191,AIS,20/03/2019 10:19,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1874388,,0,563040040,KENKI 22,
5cb2544acf504e43d0901cd4,191,AIS,20/03/2019 10:19,CHANGI FERRY,,,Departure,417,Singapore,1,vesseltracker,,,350,,296060,9204025,32,564759000,PENGUIN TEKONG,passenger_ship
5cb2544acf504e43d0901cd5,191,AIS,20/03/2019 10:18,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1925755,,10,563040619,SUN 58,
5cb2544acf504e43d0901cd6,121,AIS,20/03/2019 10:18,INMAA,878,Chennai,Departure,1429,Adelaide,1,vesseltracker,,,85614,,74575,9349502,306,636017671,AL KHARJ,container_ship
5cb2544acf504e43d0901cd7,191,AIS,20/03/2019 10:17,,,,Departure,417,Singapore,1,vesseltracker,,,,,1870286,,0,563040065,KENKI 27,
5cb2544acf504e43d0901cd8,101,AIS,20/03/2019 10:17,,,,Departure,417,Singapore,1,vesseltracker,,,,,1833116,,33,525066088,BUANA JAYA 10,
5cb2544acf504e43d0901cd9,25,AIS,20/03/2019 10:17,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1886046,,32,312471000,NAUTICAL RIVER,
5cb2544acf504e43d0901cda,191,AIS,20/03/2019 10:17,,,,Departure,,,1,vesseltracker,,,867,,1669343,,53,564269000,LITA RANGER,passenger_ship>passenger_landing_craft
