Cluster ID,confidence_score,_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
468,0.723818183,5cb2544acf504e43d0900e4d,,,20/03/2019 16:19,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,JOLLY RAMOS,
468,0.723818183,5cb2544acf504e43d0901a50,141,AIS,20/03/2019 16:19,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2090275,,24,457094000,JOLLY RAMOS,
469,0.723818183,5cb2544acf504e43d0901eca,191,AIS,20/03/2019 07:10,,,,Departure,417,Singapore,1,vesseltracker,,,,,2041531,,10,563040713,POPEYE,
469,0.723818183,5cb2544acf504e43d090135e,,,20/03/2019 07:10,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,POPEYE,
470,0.423723698,5cb2544acf504e43d0901ec6,191,AIS,20/03/2019 07:12,,,,Departure,,,1,vesseltracker,,,,,321864,,13,565602000,GP-49,passenger_ship
470,0.423723698,5cb2544acf504e43d090135f,,,20/03/2019 07:10,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,GP-49,
471,0.423723698,5cb2544acf504e43d0901f9a,191,AIS,20/03/2019 05:59,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1881166,,10,563040344,SC 4774D,
471,0.423723698,5cb2544acf504e43d090141d,,,20/03/2019 05:55,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,SC 4774D,
472,0.423723698,5cb2544acf504e43d0901977,121,AIS,20/03/2019 19:28,SGPWBGA,,,Arrival,905,Qasim,1,vesseltracker,,,101411,,29201,9302619,335,636012807,NAVIOS UNITE,container_ship
472,0.423723698,5cb2544acf504e43d0900d6e,,,20/03/2019 19:27,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,NAVIOS UNITE,
473,0.501183987,5cb2544acf504e43d09018aa,191,AIS,20/03/2019 22:30,,,,Departure,,,1,vesseltracker,,,,,2190713,,0,563066890,CAST JEWEL,
473,0.501183987,5cb2544acf504e43d08ffbe0,,,20/03/2019 22:30,,,,Arrival,,,3,fleetmon,8h,S,,Flag of Singapore,,,696x35m,563066890,CAST JEWEL,Passenger ship
474,0.423723698,5cb2544acf504e43d0900afe,,,20/03/2019 00:57,,,,Departure,,,3,fleetmon,4d 1h,,,Flag of Singapore,,,,563037820,SC4789B MAJULAH 1,Port Tender
474,0.423723698,5cb2544acf504e43d090176d,,,20/03/2019 00:51,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SC4789B MAJULAH 1,
475,0.723818183,5cb2544acf504e43d0901270,,,20/03/2019 08:32,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SUN 58,
475,0.723818183,5cb2544acf504e43d0901df9,191,AIS,20/03/2019 08:32,,,,Departure,,,1,vesseltracker,,,,,1925755,,10,563040619,SUN 58,
476,0.723818183,5cb2544bcf504e43d09022dc,191,AIS,20/03/2019 00:34,HFC TO BATAM CENTER,,,Departure,417,Singapore,1,vesseltracker,,,,,2153175,9847815,39,563054300,MAJESTIC FAITH,passenger_ship
476,0.723818183,5cb2544acf504e43d09017ac,,,20/03/2019 00:34,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,MAJESTIC FAITH,
477,0.723818183,5cb2544acf504e43d09011f9,,,20/03/2019 09:08,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,RADIANT,
477,0.723818183,5cb2544acf504e43d0901d98,191,AIS,20/03/2019 09:08,WEST COAST BASE CS02,,,Arrival,417,Singapore,1,vesseltracker,,,284,,1805168,9727340,32,566096000,RADIANT,tug
478,0.423723698,5cb2544acf504e43d090132b,,,20/03/2019 07:28,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,SP1400,
478,0.423723698,5cb2544acf504e43d0901e99,191,AIS,20/03/2019 07:29,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1712781,,0,563027320,SP1400,
479,0.423723698,5cb2544acf504e43d0901d90,191,AIS,20/03/2019 09:12,SINGAPORE,417,Singapore,Arrival,417,Singapore,1,vesseltracker,,,,,891190,,15,563021430,GP54,service_ship>pilot_vessel
479,0.423723698,5cb2544acf504e43d09011f3,,,20/03/2019 09:11,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,GP54,
480,0.423723698,5cb2544acf504e43d0901d81,191,AIS,20/03/2019 09:19,,,,Departure,417,Singapore,1,vesseltracker,,,,,1887877,,10,563040617,COASTLINK 8,
480,0.423723698,5cb2544acf504e43d09011f2,,,20/03/2019 09:12,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,COASTLINK 8,
481,0.423723698,5cb2544acf504e43d09011f4,,,20/03/2019 09:11,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SEA OSPREY,
481,0.423723698,5cb2544acf504e43d0901d94,191,AIS,20/03/2019 09:10,,,,Departure,,,1,vesseltracker,,,,,1967304,,10,563047080,SEA OSPREY,
482,0.723818183,5cb2544acf504e43d0901dcd,191,AIS,20/03/2019 08:47,,,,Arrival,417,Singapore,1,vesseltracker,,,,,410822,,28,563016950,SEA HAWK,passenger_ship
482,0.723818183,5cb2544acf504e43d0900227,,,20/03/2019 08:47,,,,Arrival,,,3,fleetmon,0h,9V9030,,Flag of Singapore,,,28x7m,563016950,SEA HAWK,Pleasure Craft
483,0.723818183,5cb2544acf504e43d0901062,,,20/03/2019 11:26,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,MARINA PHEVOS,
483,0.723818183,5cb2544acf504e43d0901c2f,191,AIS,20/03/2019 11:26,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1831824,8858946,33,563428000,MARINA PHEVOS,tug
484,0.723818183,5cb2544acf504e43d0900c61,,,20/03/2019 22:54,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SEA KESTREL,
484,0.723818183,5cb2544acf504e43d0901872,191,AIS,20/03/2019 22:54,,,,Departure,,,1,vesseltracker,,,,,1967296,,10,563047110,SEA KESTREL,
485,0.423723698,5cb2544acf504e43d0901603,,,20/03/2019 02:54,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SEA FALCON 8,
485,0.423723698,5cb2544acf504e43d0902157,191,AIS,20/03/2019 02:56,,,,Departure,,,1,vesseltracker,,,,,2163116,,14,563066230,SEA FALCON 8,
486,0.423723698,5cb2544acf504e43d0901a47,191,AIS,20/03/2019 16:24,,,,Departure,,,1,vesseltracker,,,,,1951096,,10,563044850,SP1259Z,
486,0.423723698,5cb2544acf504e43d0900e44,,,20/03/2019 16:21,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SP1259Z,
487,0.723818183,5cb2544acf504e43d0901bb7,191,AIS,20/03/2019 12:30,,,,Departure,,,1,vesseltracker,,,,,1931325,,10,563040618,CKL IX,
487,0.723818183,5cb2544acf504e43d0900fd6,,,20/03/2019 12:30,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,CKL IX,
488,0.423723698,5cb2544acf504e43d0901bab,191,AIS,20/03/2019 12:37,SINGAPORE,417,Singapore,Departure,,,1,vesseltracker,,,,,407632,,13,563013880,PILOT GP47,passenger_ship
488,0.423723698,5cb2544acf504e43d0900fd3,,,20/03/2019 12:32,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,PILOT GP47,
